Company,TypeName,Ram,OpSys,Weight,Touchscreen,CpuCompany,ClockSpeed,Flash Storage,HDD,Hybrid,SSD,GPU,Ppi,Price
Apple,Ultrabook,8,macOS,1.37,0,Intel,2.3,0.0,0.0,0.0,0.128,Intel,312.78195488721803,71378.6832
Apple,Ultrabook,8,macOS,1.34,0,Intel,1.8,0.128,0.0,0.0,0.0,Intel,175.93984962406014,47895.5232
HP,Notebook,8,No,1.86,0,Intel,2.5,0.0,0.0,0.0,0.256,Intel,192.30769230769232,30636.0
Apple,Ultrabook,16,macOS,1.83,0,Intel,2.7,0.0,0.0,0.0,0.512,AMD,303.8961038961039,135195.33599999998
Apple,Ultrabook,8,macOS,1.37,0,Intel,3.1,0.0,0.0,0.0,0.256,Intel,312.78195488721803,96095.808
Acer,Notebook,4,Windows,2.1,0,AMD,3.0,0.0,0.5,0.0,0.0,AMD,136.7948717948718,21312.0
Apple,Ultrabook,16,Mac,2.04,0,Intel,2.2,0.256,0.0,0.0,0.0,Intel,303.8961038961039,114017.6016
Apple,Ultrabook,8,macOS,1.34,0,Intel,1.8,0.256,0.0,0.0,0.0,Intel,175.93984962406014,61735.536
Asus,Ultrabook,16,Windows,1.3,0,Intel,1.8,0.0,0.0,0.0,0.512,Nvidia,214.28571428571428,79653.59999999999
Acer,Ultrabook,8,Windows,1.6,0,Intel,1.6,0.0,0.0,0.0,0.256,Intel,214.28571428571428,41025.6
HP,Notebook,4,No,1.86,0,Intel,2.5,0.0,0.5,0.0,0.0,Intel,136.7948717948718,20986.992
HP,Notebook,4,No,1.86,0,Intel,2.0,0.0,0.5,0.0,0.0,Intel,192.30769230769232,18381.0672
Apple,Ultrabook,16,macOS,1.83,0,Intel,2.8,0.0,0.0,0.0,0.256,AMD,303.8961038961039,130001.6016
Dell,Notebook,4,Windows,2.2,0,Intel,2.0,0.0,0.0,0.0,0.256,AMD,192.30769230769232,26581.392
Apple,Ultrabook,8,macOS,0.92,0,Intel,1.2,0.0,0.0,0.0,0.256,Intel,312.0,67260.672
Apple,Ultrabook,8,macOS,1.37,0,Intel,2.3,0.0,0.0,0.0,0.256,Intel,312.78195488721803,80908.344
Dell,Notebook,8,Windows,2.2,0,Intel,2.7,0.0,0.0,0.0,0.256,AMD,192.30769230769232,39693.6
Apple,Ultrabook,16,macOS,1.83,0,Intel,2.9,0.0,0.0,0.0,0.512,AMD,303.8961038961039,152274.24
