Company,Type,OpSys,CPU,GPU,Ram,Weight,Touchscreen,ClockSpeed,HDD,SSD,PPI,Price
Apple,Ultrabook,Mac,Intel,Intel,8,1.37,0,2.3,0.0,0.128,312.78195488721803,71378.6832
Apple,Ultrabook,Mac,Intel,Intel,8,1.34,0,1.8,0.0,0.0,175.93984962406014,47895.5232
HP,Notebook,No,Intel,Intel,8,1.86,0,2.5,0.0,0.256,192.30769230769232,30636.0
Apple,Ultrabook,Mac,Intel,AMD,16,1.83,0,2.7,0.0,0.512,303.8961038961039,135195.33599999998
Apple,Ultrabook,Mac,Intel,Intel,8,1.37,0,3.1,0.0,0.256,312.78195488721803,96095.808
Acer,Notebook,Windows,AMD,AMD,4,2.1,0,3.0,0.5,0.0,136.7948717948718,21312.0
Apple,Ultrabook,Mac,Intel,Intel,16,2.04,0,2.2,0.0,0.0,303.8961038961039,114017.6016
Apple,Ultrabook,Mac,Intel,Intel,8,1.34,0,1.8,0.0,0.0,175.93984962406014,61735.536
Asus,Ultrabook,Windows,Intel,Nvidia,16,1.3,0,1.8,0.0,0.512,214.28571428571428,79653.59999999999
Acer,Ultrabook,Windows,Intel,Intel,8,1.6,0,1.6,0.0,0.256,214.28571428571428,41025.6
HP,Notebook,No,Intel,Intel,4,1.86,0,2.5,0.5,0.0,136.7948717948718,20986.992
HP,Notebook,No,Intel,Intel,4,1.86,0,2.0,0.5,0.0,192.30769230769232,18381.0672
Apple,Ultrabook,Mac,Intel,AMD,16,1.83,0,2.8,0.0,0.256,303.8961038961039,130001.6016
Dell,Notebook,Windows,Intel,AMD,4,2.2,0,2.0,0.0,0.256,192.30769230769232,26581.392
Apple,Ultrabook,Mac,Intel,Intel,8,0.92,0,1.2,0.0,0.256,312.0,67260.672
Apple,Ultrabook,Mac,Intel,Intel,8,1.37,0,2.3,0.0,0.256,312.78195488721803,80908.344
Dell,Notebook,Windows,Intel,AMD,8,2.2,0,2.7,0.0,0.256,192.30769230769232,39693.6
Apple,Ultrabook,Mac,Intel,AMD,16,1.83,0,2.9,0.0,0.512,303.8961038961039,152274.24
Lenovo,Notebook,No,Intel,Nvidia,8,2.2,0,2.4,1.0,0.0,192.30769230769232,26586.72
Dell,Ultrabook,Windows,Intel,Intel,8,1.22,1,1.6,0.0,0.128,225.56390977443607,52161.12
Asus,Netbook,Windows,Intel,Intel,2,0.98,0,1.44,0.0,0.0,183.9655172413793,10224.432
Lenovo,Gaming,Windows,Intel,Nvidia,8,2.5,0,2.5,1.0,0.128,192.30769230769232,53226.72
HP,Notebook,No,AMD,AMD,4,1.86,0,1.5,0.5,0.0,136.7948717948718,13746.24
Dell,2 in 1 Convertible,Windows,Intel,Intel,8,1.62,1,1.6,0.0,0.256,225.56390977443607,43636.32
HP,Ultrabook,Windows,Intel,Intel,8,1.91,0,1.8,0.0,0.256,192.30769230769232,35111.52
Dell,Notebook,Windows,Intel,Intel,4,2.3,0,2.0,1.0,0.0,136.7948717948718,22305.1392
Apple,Ultrabook,Mac,Intel,Intel,8,1.35,0,1.6,0.0,0.0,175.93984962406014,58554.72
Dell,Notebook,Windows,Intel,AMD,8,2.2,0,1.6,0.0,0.256,192.30769230769232,42624.0
Dell,Ultrabook,Windows,Intel,Intel,8,1.88,0,1.9,0.0,0.512,192.30769230769232,69157.44
HP,Notebook,Windows,Intel,Nvidia,8,2.5,0,1.6,1.0,0.0,173.41040462427745,47738.88
others,Notebook,Windows,Intel,Intel,4,1.89,0,1.44,0.0,0.0,192.30769230769232,13053.0672
Asus,Notebook,Windows,AMD,AMD,2,1.65,0,1.5,0.0,0.0,152.42857142857142,10602.72
HP,Notebook,Windows,AMD,AMD,4,2.71,0,2.5,0.5,0.0,173.41040462427745,23389.92
Dell,Ultrabook,Windows,Intel,Intel,16,1.2,1,1.8,0.0,0.512,375.9398496240601,99580.32
Apple,Ultrabook,Mac,Intel,Intel,8,1.35,0,1.6,0.0,0.0,175.93984962406014,53173.44
